지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,2017-05-31
성남시,115,74,64,60,203,99,193,124,41,71,77,51,67,45,38,40,48,53,37,32,47,40,28,41,27,35,51,70,52,38
성남시,103,69,65,57,197,101,193,114,36,70,72,46,63,42,38,37,48,49,36,29,42,37,26,39,26,35,48,63,55,38
수원시,117,85,78,62,220,108,196,109,38,76,81,59,69,46,40,50,58,59,46,38,44,46,34,49,32,37,50,71,58,48
수원시,140,102,88,76,218,121,227,135,51,98,97,68,79,53,47,44,52,50,38,28,40,38,25,38,23,33,45,64,54,42
수원시,109,78,71,57,199,112,188,132,38,71,71,49,64,43,36,45,50,49,38,34,41,41,33,46,31,36,46,63,51,40
수원시,112,81,70,56,205,105,250,115,35,73,72,49,64,42,42,47,56,56,44,36,46,41,31,45,27,35,46,65,55,46
수원시,120,84,72,56,206,106,202,120,39,76,80,49,65,41,37,45,53,54,41,33,41,42,32,41,27,34,48,67,53,41
수원시,124,81,71,62,203,106,203,114,41,79,78,51,66,40,35,46,51,52,38,33,40,42,36,42,28,34,50,64,50,42
시흥시,121,82,74,63,224,102,202,135,40,78,79,61,67,46,38,47,54,48,44,36,44,41,29,44,37,36,50,63,50,45
시흥시,127,92,85,66,274,125,226,128,48,84,87,78,78,49,39,54,68,62,48,36,47,49,37,57,36,37,54,67,53,47
시흥시,111,78,71,56,272,109,197,117,42,69,72,51,69,40,32,49,55,52,41,31,40,46,29,46,30,33,44,58,46,42
안산시,112,77,68,58,241,105,187,101,38,69,71,46,67,45,38,44,48,51,40,30,35,37,28,43,28,33,43,55,38,3
안산시,78,63,66,60,224,116,195,106,41,59,68,41,62,36,29,37,49,44,38,31,32,36,26,38,23,25,40,49,35,28
안산시,108,69,73,56,210,105,195,104,38,67,68,47,64,42,34,44,48,46,36,31,35,36,31,43,29,32,40,56,44,41
안산시,137,83,74,63,214,105,191,113,45,80,85,55,70,43,37,46,55,55,41,35,43,43,33,46,28,35,47,69,56,44
안산시,124,81,72,62,218,110,204,113,44,79,79,53,74,47,39,50,57,55,44,36,42,46,33,47,31,37,48,66,50,47
안산시,122,89,78,56,202,97,178,103,46,84,86,58,66,38,35,57,62,65,47,41,38,48,37,47,29,32,46,63,54,47
안산시,93,57,55,46,164,82,156,84,34,57,61,39,52,32,28,38,41,41,31,27,30,33,26,33,21,25,32,50,37,35
안성시,95,84,75,74,239,109,180,113,50,75,65,53,66,48,46,58,62,66,47,37,46,47,39,54,36,41,58,77,70,46
안양시,121,76,65,52,214,104,179,111,39,77,79,57,67,45,43,42,49,51,37,29,41,37,28,45,26,36,46,69,56,41
안양시,107,69,62,54,197,94,174,104,36,70,66,47,61,41,34,41,46,45,35,29,39,34,25,39,32,32,38,58,44,34
안양시,128,74,71,59,210,100,174,111,45,80,86,57,66,45,44,47,50,53,41,31,45,39,36,52,31,41,52,79,61,43
안양시,130,72,67,51,223,101,185,113,39,78,83,55,62,39,39,45,49,54,38,22,37,34,28,49,26,36,44,71,55,38
양주시,103,79,70,52,226,93,162,150,51,86,99,63,58,43,46,41,51,52,41,35,58,40,33,43,25,38,57,95,75,48
양평군,62,71,65,63,230,89,148,123,32,63,68,43,62,45,43,39,46,54,43,36,44,41,23,40,24,35,47,71,62,45
여주시,88,97,88,83,250,113,161,133,40,79,77,54,68,54,50,49,61,76,51,45,53,44,48,58,33,46,59,86,81,61
연천군,95,67,57,47,251,82,153,138,29,72,91,47,34,19,23,24,39,36,25,28,39,28,19,27,16,21,35,63,51,22
오산시,117,85,73,58,212,106,189,107,39,77,76,57,59,42,38,47,58,61,43,40,44,45,32,42,27,35,46,62,67,49
용인시,111,91,78,61,226,107,202,124,38,82,76,58,69,45,41,50,58,54,42,36,48,47,28,46,29,38,28,92,64,51
용인시,101,82,70,59,205,100,164,106,45,74,73,53,63,45,45,46,53,60,46,31,46,44,35,50,29,40,51,71,68,38
용인시,103,78,68,60,207,105,175,111,39,72,73,50,66,44,41,42,51,52,39,32,46,40,31,46,31,38,50,65,55,40
의왕시,98,65,65,56,214,92,173,101,37,67,64,45,63,44,36,41,48,45,38,33,41,41,25,41,34,31,51,59,44,43
의왕시,124,81,73,60,207,101,193,110,40,75,82,56,68,46,40,48,60,54,44,35,42,43,33,47,33,51,55,72,55,44
의정부시,104,83,72,56,261,104,171,161,62,85,98,66,69,46,48,45,55,58,43,37,56,41,35,48,30,43,59,90,70,47
