DATE1,LOC,LOC_1,a_pm10,a_pm25
20160103,Jeollabuk-do,전주시,71.9792,0.0000
20160103,Jeollabuk-do,정읍시,58.5833,0.0000
20160103,Jeju-do,서귀포시,44.7500,33.0417
20160103,Jeju-do,제주시,66.3043,51.6667
20160103,Chungcheongnam-do,공주시,58.6250,0.0000
20160103,Chungcheongnam-do,당진군,44.3750,0.0000
20160103,Chungcheongnam-do,서산시,50.2500,0.0000
20160103,Chungcheongnam-do,아산시,71.7083,0.0000
20160103,Chungcheongnam-do,천안시,74.7917,57.2917
20160103,Chungcheongnam-do,태안군,99.5000,0.0000
20160103,Chungcheongbuk-do,괴산군,51.0000,0.0000
20160103,Chungcheongbuk-do,단양군,48.8750,34.8333
20160103,Chungcheongbuk-do,제천시,70.5833,43.3750
20160103,Chungcheongbuk-do,청주시,84.0833,65.8521
20160103,Chungcheongbuk-do,충주시,60.4375,48.1250
20160104,Gangwon-do,강릉시,75.0417,54.1250
20160104,Gangwon-do,고성군,59.1250,0.0000
20160104,Gangwon-do,동해시,65.8333,49.1250
20160104,Gangwon-do,삼척시,73.8333,52.2083
20160104,Gangwon-do,양구군,59.7500,0.0000
20160104,Gangwon-do,원주시,87.7292,70.3333
20160104,Gangwon-do,정선군,72.5417,0.0000
20160104,Gangwon-do,춘천시,76.5417,53.8333
20160104,Gangwon-do,횡성군,80.4583,0.0000
20160104,Gyeonggi-do,가평군,78.2083,0.0000
20160104,Gyeonggi-do,고양시,97.8750,0.0000
20160104,Gyeonggi-do,과천시,75.7500,0.0000
20160104,Gyeonggi-do,광명시,85.0417,0.0000
20160104,Gyeonggi-do,광주시,88.8261,0.0000
20160104,Gyeonggi-do,구리시,86.5833,59.4167
20160104,Gyeonggi-do,군포시,33.5000,0.0000
20160104,Gyeonggi-do,김포시,91.5694,55.6667
20160104,Gyeonggi-do,남양주시,84.3556,0.0000
20160104,Gyeonggi-do,동두천시,85.0833,0.0000
20160104,Gyeonggi-do,부천시,85.7983,61.9167
20160104,Gyeonggi-do,성남시,80.3583,39.1250
